ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
3281,Nucleoside diphosphate kinase B,NME2,"",X58965,P22392,NDKB_HUMAN,1NSK; 1NUE; 3BBB; 3BBC; 3BBF,,NME2,HGNC:7850,Humans,DB14126
3336,Cytochrome P450 2A6,CYP2A6,"",X13897,P11509,CP2A6_HUMAN,1Z10; 1Z11; 2FDU; 2FDV; 2FDW; 2FDY; 3EBS; 3T3Q; 3T3R; 4EJJ; 4RUI,,CYP2A6,HGNC:2610,Humans,DB06739; DB14009; DB14737
3533,Cytochrome P450 2E1,CYP2E1,181360,J02625,P05181,CP2E1_HUMAN,3E4E; 3E6I; 3GPH; 3KOH; 3LC4; 3T3Z,,,HGNC:2631,Humans,DB01844; DB02520; DB04216; DB04379; DB06728; DB09288; DB13174; DB13941; DB13963; DB14009; DB14046; DB14737
3536,Cytochrome P450 2C19,CYP2C19,181344,M61854,P33261,CP2CJ_HUMAN,4GQS,,,HGNC:2621,Humans,DB00546; DB01355; DB01685; DB04216; DB06739; DB08496; DB09166; DB09198; DB11638; DB13746; DB13762; DB13941; DB14009; DB14055; DB14635; DB14737
3538,UDP-glucuronosyltransferase 1-9,UGT1A9,7690346,S55985,O60656,UD19_HUMAN,"",,,HGNC:12541,Humans,DB01685; DB04552; DB06739; DB09285; DB09288; DB11638; DB14009; DB14737
3539,Aldehyde oxidase,AOX1,438656,L11005,Q06278,AOXA_HUMAN,4UHW; 4UHX,,,HGNC:553,Humans,DB08840
3541,UDP-glucuronosyltransferase 1-1,UGT1A1,184473,M57899,P22309,UD11_HUMAN,"",,,HGNC:12530,Humans,DB03496; DB09288; DB09298
3542,"Cytochrome P450 11B2, mitochondrial",CYP11B2,35200,X54741,P19099,C11B2_HUMAN,4DVQ; 4FDH; 4ZGX,,,HGNC:2592,Humans,DB04630
3543,Cytochrome P450 1A1,CYP1A1,181276,K03191,P04798,CP1A1_HUMAN,4I8V,,,HGNC:2595,Humans,DB00466; DB01685; DB08496; DB08922; DB14009; DB14737
3549,Cytochrome P450 2B6,CYP2B6,181296,M29874,P20813,CP2B6_HUMAN,3IBD; 3QOA; 3QU8; 3UA5; 4I91; 4RQL; 4RRT,,,HGNC:2615,Humans,DB01466; DB06739; DB13941; DB14009; DB14635; DB14737
3607,Arylamine N-acetyltransferase 2,NAT2,219412,D90040,P11245,ARY2_HUMAN,2PFR,,,HGNC:7646,Humans,DB09288
3611,Cytochrome P450 2C18,CYP2C18,,M61853,P33260,CP2CI_HUMAN,2CIK; 2H6P,,,HGNC:2620,Humans,DB08496; DB09166; DB14055
3612,Cytochrome P450 3A7,CYP3A7,220149,D00408,P24462,CP3A7_HUMAN,"",,,HGNC:2640,Humans,DB13867; DB14009; DB14538; DB14737
3677,UDP-glucuronosyltransferase 1-3,UGT1A3,340135,M84127,P35503,UD13_HUMAN,"",,,HGNC:12535,Humans,DB13919
3678,UDP-glucuronosyltransferase 1-10,UGT1A10,2039362,U89508,Q9HAW8,UD110_HUMAN,"",,,HGNC:12531,Humans,DB09288; DB14009; DB14737
3679,UDP-glucuronosyltransferase 2B7,UGT2B7,340080,J05428,P16662,UD2B7_HUMAN,2O6L,,,HGNC:12554,Humans,DB06737; DB11638; DB14009; DB14737
3680,UDP-glucuronosyltransferase 2B17,UGT2B17,3287473,U59209,O75795,UDB17_HUMAN,"",,,HGNC:12547,Humans,DB14009
3682,UDP-glucuronosyltransferase 1-8,UGT1A8,2613044,AF030310,Q9HAW9,UD18_HUMAN,"",,,HGNC:12540,Humans,DB14009; DB14737
3683,Cytochrome P450 2J2,CYP2J2,18254513,U37143,P51589,CP2J2_HUMAN,"",,,HGNC:2634,Humans,DB14009; DB14737
4453,"Superoxide dismutase [Mn], mitochondrial",SOD2,,,P04179,SODM_HUMAN,1AP5; 1AP6; 1EM1; 1JA8; 1LUV; 1LUW; 1MSD; 1N0J; 1N0N; 1PL4; 1PM9; 1QNM; 1SZX; 1VAR; 1XDC; 1XIL; 1ZSP; 1ZTE; 1ZUQ; 2ADP; 2ADQ; 2GDS; 2P4K; 2QKA; 2QKC; 3C3S; 3C3T,,,HGNC:11180,Humans,DB09221
4477,"Adenylate kinase 2, mitochondrial",AK2,,,P54819,KAD2_HUMAN,2C9Y,,,HGNC:362,Humans,DB14126
4694,UDP-glucuronosyltransferase 1-6,UGT1A6,,,P19224,UD16_HUMAN,"",,,HGNC:12538,Humans,DB09288
4695,UDP-glucuronosyltransferase 1-7,UGT1A7,,,Q9HAW7,UD17_HUMAN,"",,,HGNC:12539,Humans,DB14009; DB14737
4696,UDP-glucuronosyltransferase 2B15,UGT2B15,,,P54855,UDB15_HUMAN,"",,,HGNC:12546,Humans,DB09288
4713,Pyridoxine 5'-phosphate phosphatase,pdxP,,,A7BK78,A7BK78_RHIML,"",,,,Ensifer meliloti,DB02209
4760,Cytochrome P450 3A1,Cyp3a1,,,P04800,CP3A1_RAT,"",,,,Rat,DB13746
4761,Cytochrome P450 3A2,Cyp3a2,,,P05183,CP3A2_RAT,"",,,,Rat,DB13746; DB13975
4762,Cytochrome P450 2A1,Cyp2a1,,,P11711,CP2A1_RAT,"",,,,Rat,DB13746
9137,Sulfotransferase 1A3,SULT1A3,,,P0DMM9,ST1A3_HUMAN,1CJM; 2A3R,,,HGNC:11455,Humans,DB09288; DB14635
2638,Cytochrome P450 3A4,CYP3A4,"",M18907,P08684,CP3A4_HUMAN,1TQN; 1W0E; 1W0F; 1W0G; 2J0D; 2V0M; 3NXU; 3TJS; 3UA1; 4D6Z; 4D75; 4D78; 4D7D; 4I3Q; 4I4G; 4I4H; 4K9T; 4K9U; 4K9V; 4K9W; 4K9X; 4NY4; 5A1P; 5A1R,,CYP3A4,HGNC:2637,Humans,DB04216; DB13141; DB13174; DB16536
3550,Cytochrome P450 3A43,CYP3A43,12642642,AF319634,Q9HB55,CP343_HUMAN,"",,,HGNC:17450,Humans,DB04216; DB13141; DB13174; DB16536
2362,Cytochrome P450 3A5,CYP3A5,181346,J04813,P20815,CP3A5_HUMAN,"",,CYP3A5,HGNC:2638,Humans,DB04216; DB13141; DB13174; DB16536
3612,Cytochrome P450 3A7,CYP3A7,220149,D00408,P24462,CP3A7_HUMAN,"",,,HGNC:2640,Humans,DB04216; DB13141; DB13174; DB16536
5885,Peroxiredoxin-1,PRDX1,,,Q06830,PRDX1_HUMAN,2RII; 3HY2,,,HGNC:9352,Humans,DB09221
9005,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,,,P19827,ITIH1_HUMAN,"",,,HGNC:6166,Humans,DB09338
9328,Cytochrome P450 1A1,Cyp1a1,,,P00185,CP1A1_RAT,"",,,,Rat,DB13746
9329,Cytochrome P450 2C6,Cyp2c6,,,P05178,CP2C6_RAT,"",,,,Rat,DB13746
9330,Cytochrome P450 2C11,Cyp2c11,,,P08683,CP2CB_RAT,"",,,,Rat,DB13746
3541,UDP-glucuronosyltransferase 1-1,UGT1A1,184473,M57899,P22309,UD11_HUMAN,"",,,HGNC:12530,Humans,DB14635
3678,UDP-glucuronosyltransferase 1-10,UGT1A10,2039362,U89508,Q9HAW8,UD110_HUMAN,"",,,HGNC:12531,Humans,DB14635
3677,UDP-glucuronosyltransferase 1-3,UGT1A3,340135,M84127,P35503,UD13_HUMAN,"",,,HGNC:12535,Humans,DB14635
3544,UDP-glucuronosyltransferase 1-4,UGT1A4,184475,M57951,P22310,UD14_HUMAN,"",,,HGNC:12536,Humans,DB14635
4694,UDP-glucuronosyltransferase 1-6,UGT1A6,,,P19224,UD16_HUMAN,"",,,HGNC:12538,Humans,DB14635
4695,UDP-glucuronosyltransferase 1-7,UGT1A7,,,Q9HAW7,UD17_HUMAN,"",,,HGNC:12539,Humans,DB14635
3682,UDP-glucuronosyltransferase 1-8,UGT1A8,2613044,AF030310,Q9HAW9,UD18_HUMAN,"",,,HGNC:12540,Humans,DB14635
3538,UDP-glucuronosyltransferase 1-9,UGT1A9,7690346,S55985,O60656,UD19_HUMAN,"",,,HGNC:12541,Humans,DB14635
4696,UDP-glucuronosyltransferase 2B15,UGT2B15,,,P54855,UDB15_HUMAN,"",,,HGNC:12546,Humans,DB14635
3681,UDP-glucuronosyltransferase 2B4,UGT2B4,37589,Y00317,P06133,UD2B4_HUMAN,"",,,HGNC:12553,Humans,DB14635
3679,UDP-glucuronosyltransferase 2B7,UGT2B7,340080,J05428,P16662,UD2B7_HUMAN,2O6L,,,HGNC:12554,Humans,DB14635
9866,Sulfotransferase 1C4,SULT1C4,,,O75897,ST1C4_HUMAN,2AD1; 2GWH,,,HGNC:11457,Humans,DB14635
17,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,"",,PTGS1,HGNC:9604,Humans,DB13514
262,Prostaglandin G/H synthase 2,PTGS2,291988,L15326,P35354,PGH2_HUMAN,1V0X,,PTGS2,HGNC:9605,Humans,DB13514
10972,Cytochrome P450 7B1,CYP7B1,,,O75881,CP7B1_HUMAN,,,,HGNC:2652,Humans,DB01530
